,Suburb,Rooms,Type,Price,Distance,Postcode,Bedroom2,Bathroom,Car,YearBuilt,CouncilArea,Regionname,Lattitude,Longtitude,BuildingArea,zipcode_int,airbnb_price_mean,airbnb_record_count
0,Abbotsford,2,h,1480000.0,2.5,3067.0,2.0,1.0,1.0,,Yarra,Northern Metropolitan,-37.7996,144.9984,,3067.0,130.62403100775194,258.0
1,Abbotsford,2,h,1035000.0,2.5,3067.0,2.0,1.0,0.0,1900.0,Yarra,Northern Metropolitan,-37.8079,144.9934,79.0,3067.0,130.62403100775194,258.0
2,Abbotsford,3,h,1465000.0,2.5,3067.0,3.0,2.0,0.0,1900.0,Yarra,Northern Metropolitan,-37.8093,144.9944,150.0,3067.0,130.62403100775194,258.0
3,Abbotsford,3,h,850000.0,2.5,3067.0,3.0,2.0,1.0,,Yarra,Northern Metropolitan,-37.7969,144.9969,,3067.0,130.62403100775194,258.0
4,Abbotsford,4,h,1600000.0,2.5,3067.0,3.0,1.0,2.0,2014.0,Yarra,Northern Metropolitan,-37.8072,144.9941,142.0,3067.0,130.62403100775194,258.0
5,Abbotsford,2,h,941000.0,2.5,3067.0,2.0,1.0,0.0,,Yarra,Northern Metropolitan,-37.8041,144.9953,,3067.0,130.62403100775194,258.0
6,Abbotsford,3,h,1876000.0,2.5,3067.0,4.0,2.0,0.0,1910.0,Yarra,Northern Metropolitan,-37.8024,144.9993,210.0,3067.0,130.62403100775194,258.0
7,Abbotsford,2,h,1636000.0,2.5,3067.0,2.0,1.0,2.0,1890.0,Yarra,Northern Metropolitan,-37.806,144.9954,107.0,3067.0,130.62403100775194,258.0
8,Abbotsford,1,u,300000.0,2.5,3067.0,1.0,1.0,1.0,,Yarra,Northern Metropolitan,-37.8008,144.9973,,3067.0,130.62403100775194,258.0
9,Abbotsford,2,h,1097000.0,2.5,3067.0,3.0,1.0,2.0,1900.0,Yarra,Northern Metropolitan,-37.801,144.9989,75.0,3067.0,130.62403100775194,258.0
10,Abbotsford,2,u,700000.0,2.5,3067.0,2.0,2.0,1.0,,Yarra,Northern Metropolitan,-37.811,145.0067,,3067.0,130.62403100775194,258.0
11,Abbotsford,3,h,1350000.0,2.5,3067.0,3.0,2.0,2.0,2005.0,Yarra,Northern Metropolitan,-37.8085,144.9964,190.0,3067.0,130.62403100775194,258.0
