,Suburb,Rooms,Type,Price,Distance,Postcode,Bedroom2,Bathroom,Car,YearBuilt,CouncilArea,Regionname,Lattitude,Longtitude,BuildingArea
0,Abbotsford,2,h,1480000.0,2.5,3067.0,2.0,1.0,1.0,,Yarra,Northern Metropolitan,-37.7996,144.9984,
1,Abbotsford,2,h,1035000.0,2.5,3067.0,2.0,1.0,0.0,1900.0,Yarra,Northern Metropolitan,-37.8079,144.9934,79.0
2,Abbotsford,3,h,1465000.0,2.5,3067.0,3.0,2.0,0.0,1900.0,Yarra,Northern Metropolitan,-37.8093,144.9944,150.0
3,Abbotsford,3,h,850000.0,2.5,3067.0,3.0,2.0,1.0,,Yarra,Northern Metropolitan,-37.7969,144.9969,
4,Abbotsford,4,h,1600000.0,2.5,3067.0,3.0,1.0,2.0,2014.0,Yarra,Northern Metropolitan,-37.8072,144.9941,142.0
5,Abbotsford,2,h,941000.0,2.5,3067.0,2.0,1.0,0.0,,Yarra,Northern Metropolitan,-37.8041,144.9953,
6,Abbotsford,3,h,1876000.0,2.5,3067.0,4.0,2.0,0.0,1910.0,Yarra,Northern Metropolitan,-37.8024,144.9993,210.0
7,Abbotsford,2,h,1636000.0,2.5,3067.0,2.0,1.0,2.0,1890.0,Yarra,Northern Metropolitan,-37.806,144.9954,107.0
8,Abbotsford,1,u,300000.0,2.5,3067.0,1.0,1.0,1.0,,Yarra,Northern Metropolitan,-37.8008,144.9973,
9,Abbotsford,2,h,1097000.0,2.5,3067.0,3.0,1.0,2.0,1900.0,Yarra,Northern Metropolitan,-37.801,144.9989,75.0
10,Abbotsford,2,u,700000.0,2.5,3067.0,2.0,2.0,1.0,,Yarra,Northern Metropolitan,-37.811,145.0067,
11,Abbotsford,3,h,1350000.0,2.5,3067.0,3.0,2.0,2.0,2005.0,Yarra,Northern Metropolitan,-37.8085,144.9964,190.0
12,Abbotsford,2,u,750000.0,2.5,3067.0,2.0,2.0,1.0,2009.0,Yarra,Northern Metropolitan,-37.8078,144.9965,94.0
13,Abbotsford,2,h,1172500.0,2.5,3067.0,2.0,1.0,1.0,,Yarra,Northern Metropolitan,-37.8084,144.9973,
14,Abbotsford,1,u,441000.0,2.5,3067.0,1.0,1.0,1.0,,Yarra,Northern Metropolitan,-37.8016,144.9988,
15,Abbotsford,2,h,1310000.0,2.5,3067.0,2.0,1.0,2.0,1890.0,Yarra,Northern Metropolitan,-37.809,144.9976,97.0
16,Abbotsford,3,h,1200000.0,2.5,3067.0,3.0,2.0,1.0,1880.0,Yarra,Northern Metropolitan,-37.8056,144.993,110.0
17,Abbotsford,3,h,1176500.0,2.5,3067.0,2.0,1.0,1.0,1890.0,Yarra,Northern Metropolitan,-37.8021,144.9965,105.0
18,Abbotsford,3,h,955000.0,2.5,3067.0,3.0,1.0,0.0,,Yarra,Northern Metropolitan,-37.8022,144.9975,
19,Abbotsford,2,h,890000.0,2.5,3067.0,2.0,1.0,1.0,1985.0,Yarra,Northern Metropolitan,-37.8011,145.0004,73.0
20,Abbotsford,4,h,1330000.0,2.5,3067.0,4.0,2.0,2.0,1900.0,Yarra,Northern Metropolitan,-37.8073,144.9952,135.0
21,Abbotsford,3,t,900000.0,2.5,3067.0,3.0,2.0,2.0,2010.0,Yarra,Northern Metropolitan,-37.8093,144.9959,
22,Abbotsford,3,u,1090000.0,2.5,3067.0,3.0,2.0,2.0,,Yarra,Northern Metropolitan,-37.8078,144.9965,27.0
23,Abbotsford,2,u,500000.0,2.5,3067.0,2.0,1.0,1.0,1970.0,Yarra,Northern Metropolitan,-37.8015,144.9972,60.0
24,Abbotsford,2,h,1100000.0,2.5,3067.0,2.0,2.0,1.0,2013.0,Yarra,Northern Metropolitan,-37.8079,144.9977,135.0
25,Abbotsford,2,h,1315000.0,2.5,3067.0,2.0,1.0,0.0,1900.0,Yarra,Northern Metropolitan,-37.808,144.994,85.0
26,Abbotsford,1,u,426000.0,2.5,3067.0,1.0,1.0,1.0,,Yarra,Northern Metropolitan,-37.8016,144.9988,
27,Abbotsford,3,h,1447500.0,2.5,3067.0,3.0,3.0,1.0,2012.0,Yarra,Northern Metropolitan,-37.8017,145.0001,174.0
28,Abbotsford,1,u,457000.0,2.5,3067.0,1.0,1.0,1.0,,Yarra,Northern Metropolitan,-37.8078,144.9965,50.0
29,Abbotsford,2,h,1135000.0,2.5,3067.0,2.0,2.0,2.0,1920.0,Yarra,Northern Metropolitan,-37.8005,144.9952,128.0
30,Abbotsford,4,h,1542000.0,2.5,3067.0,4.0,3.0,1.0,,Yarra,Northern Metropolitan,-37.7994,144.9965,
31,Abbotsford,3,h,1290000.0,2.5,3067.0,3.0,2.0,2.0,,Yarra,Northern Metropolitan,-37.805,144.9943,18.0
32,Abbotsford,3,h,1290000.0,2.5,3067.0,3.0,1.0,1.0,1950.0,Yarra,Northern Metropolitan,-37.8007,144.9958,124.0
33,Abbotsford,1,u,470000.0,2.5,3067.0,1.0,1.0,1.0,2013.0,Yarra,Northern Metropolitan,-37.8055,144.9961,50.0
34,Abbotsford,2,h,1180000.0,2.5,3067.0,2.0,1.0,0.0,1900.0,Yarra,Northern Metropolitan,-37.8016,144.9956,91.0
35,Abbotsford,3,h,1195000.0,2.5,3067.0,3.0,2.0,1.0,1998.0,Yarra,Northern Metropolitan,-37.8022,144.9954,128.0
36,Abbotsford,2,h,1012500.0,2.5,3067.0,2.0,1.0,0.0,1900.0,Yarra,Northern Metropolitan,-37.8021,144.9976,82.0
37,Abbotsford,2,h,1030000.0,2.5,3067.0,2.0,1.0,1.0,1930.0,Yarra,Northern Metropolitan,-37.8086,144.9946,81.0
